id,shpcountry,rcvcountry
Maacama Ocean Worldwide LLC,NA,NA
Chituku Roe Corp Import,Anderia del Mar,Oceanus
-193,Luminkind,Oceanus
Costa del Mar SRL,Isliandor,Oceanus
-54,Nalakond,Oceanus
bǐ mù yú A/S Shipping,Nalakond,Oceanus
Olas del Sur Seabed,Vesperanda,Oceanus
Kong zhong diao yu  AG Transport,Oceanus,Coralmarica
Mar de la Vida Incorporated,Rio Isla,Oceanus
Ancla Azul Transportation Seafaring,Thessalandia,Oceanus
Isla del Este Oceanography,Sol y Oceana,Oceanus
Baltic Sprat Corp Roe,Alverossia,Oceanus
Oka Seafood Shipping Ges.m.b.H.,NA,NA
Sea Breeze Corporation Marine sanctuary,Coralada,Oceanus
Bay of Bengal's GmbH,Isliandor,Oceanus
-21759,Luminkind,Oceanus
Shou gan  Sagl Mudflat,Oceanus,Oceanus
Skeleton Coast  Compass Plc Logistics,Marebak,Oceanus
Madhya GmbH & Co. KG,Oceanus,Oceanus
Blue Water Ventures GmbH,Rio Isla,Oceanus
Kong zhong diao yu  Hull,Isliandor,Oceanus
The Sea Turtle GmbH & Co. KG,Marebak,Oceanus
Olas del Sur Ltd,Faraluna,Oceanus
OranjestadCreek Express Sagl,NA,NA
móguǐ yú S.A. de C.V.,Gavanovia,Oceanus
-214,Luminkind,Oceanus
FinestTastes Tide AB Freight ,Alverossia,Oceanus
Yu xian  SRL Industrial,Sirenareef,Oceanus
Harbah Limited Liability Company,Zawalinda,Oceanus
Samaka Sp Marine biology,Utoparadia,Oceanus
-91,Luminkind,Oceanus
Great Ruaha River  GmbH,Puerto Sol,Utoporiana
SamakaDredgeTransport OJSC,NA,NA
Kerala s S.A. de C.V.,Marebak,Oceanus
ReefRider Foods Ltd. Corporation Family,Oceanus,Oceanus
Richard World Incorporated and Son's,Oceanus,Utoporiana
Vespuci Sagl Marine sanctuary,Nalakond,Oceanus
OceanKing s Sailor Corp Logistics,Nalakond,Oceanus
bǐ mù yú Ltd. Corporation,Nalaloria,Oceanus
Fisherman's Best Marine conservation,Marebak,Oceanus
Kilimanjaro fishery Ltd. Corporation Carriers,Vesperanda,Oceanus
Black Sea Tuna Sagl,Nalakond,Oceanus
Belgian Shrimps Ocean Corp Holdings,Lumaland,Oceanus
West Bengal  Company Nori,Alverossia,Oceanus
SavanetaCreek Solutions NV,NA,NA
Ocean Explorers Seagrass Sp Logistics,Icarnia,Oceanus
The Sea Turtle Kga Overseas,Oceanus,Oceanus
Lake Mweru  CJSC Express,Puerto Sol,Oceanus
Fisherman's Bounty Corp Marine,Yggdrasonia,Oceanus
-987,Luminkind,Oceanus
SouthSeafood Express Corp,NA,NA
Green Valley Tuna Kga Delivery,Coralmarica,Oceanus
Spanish Anchovy CJSC Marine,Merigrad,Oceanus
Barco de Plata Corp,Puerto Sol,Oceanus
Surf and Sand Sagl,Oceanus,Oceanus
Tamil Nadu   Corporation Compass,Utoporiana,Oceanus
Estrella del Sol Buoy,Merigrad,Oceanus
David Ltd. Liability Co Forwading,Coralada,Oceanus
-754,Luminkind,Oceanus
StichtingMarine Shipping Company,NA,NA
Deep Blue ОАО Chart,Oceanus,Oceanus
Mar de la Luz GmbH,Marebak,Oceanus
Mar de Plata N.V.,Korvelia,Luminkind
Kong zhong diao yu  Ges.m.b.H.,Oceanus,Oceanus
9 Seaport SE Carriers,Isliandor,Oceanus
SeaLion Marine AG Express,Kondanovia,Oceanus
Playa del Mar AG,Coralmarica,Oceanus
Victoria Falls   Oyj Delivery,Jiraputra,Oceanus
SeaFusion Ges.m.b.H. and Son's,Merigrad,Utoporiana
Atlántico Sur Cargo ship,Coralmarica,Oceanus
Olas del Mar ОАО,Nalakond,Oceanus
Náutica del Sol SE,Rio Isla,Maripuerto
SumacAmerica Transport GmbH & Co. KG,NA,NA
Assam  Market Cargo ship Company Marine conservation,Faraluna,Oceanus
Brisa del Mar Plc,Coralada,Oceanus
Aqua Ambassadors Compass CJSC Delivery,Marebak,Oceanus
Bahía de Plata Incorporated,Coralmarica,Oceanus
Jammu & Kashmir Sea  Forwading,Kondarama,Oceanus
Playa del Mar Anchor N.V. Services,Oceanus,Oceanus
WestRiver Shipping KgaA,NA,NA
Ancla Marina Corp Worldwide,Oceanus,Oceanus
lú yú Ltd. Corporation,Alverossia,Oceanus
Barents Sea Shrimp CJSC Compass,Utoporiana,-22005
Lake Tana  N.V. Enterprises,Rio Isla,Oceanus
jīn qiāng yú AG Oceanography,Sol y Oceana,Oceanus
Portuguese Tuna Bonito Kga Consultants,Kondanovia,Oceanus
Ancla del Este Ges.m.b.H.,Marebak,Oceanus
Coastal Charm GmbH Transportation,Zawalinda,Oceanus
Lake Manyara   & Son's,Zawalinda,Oceanus
Océano Azul GmbH & Co. KG & Son's,Oceanus,Oceanus
Skeleton Coast  NV Transportation,Isliandor,Oceanus
Tamil Nadu   Sp Worldwide,Jiraputra,Oceanus
Simien Mountains   GmbH Forwading,Sol y Oceana,Oceanus
Playa de Oro BV Cargo,Oceanus,Oceanus
Isla del Este SE,Helixia,Oceanus
zūn yú Ges.m.b.H. Shipping,Coralmarica,Coralmarica
Lake Victoria Catch  Limited Liability Company Freight ,Marebak,Oceanus
Seashell Seekers ОАО International,Korvelonia,Oceanus
Costa del Mar N.V. Shipping,Icarnia,Oceanus
William & Co Marine life,Marebak,Oceanus
Náutica del Norte Kga Holdings,Merigrad,Anderia del Mar
Mar de Cristalino Port,Marebak,Oceanus
AquaCuisine  GmbH & Co. KG Services,Solovarossa,Solovarossa
Ocean Outfitters Brine AB Express,Osterivaria,Oceanus
Saltwater Solitude Marine biology,Marebak,NA
Tshimbua Ltd. Corporation Marine,Coralmarica,Oceanus
Rufiji Delta  Ltd. Liability Co,Isliandor,Oceanus
Ianira Starfish Sagl Import,Rio Isla,Sol y Oceana
Haryana s Sagl Transport,Osterivaria,Oceanus
Coastal Crusaders Company Investment,Icarnia,Oceanus
Gulf of Tadjoura  Transit,Gavanovia,Oceanus
Gvardeysk GmbH & Co. KG,Sol y Oceana,Jiraputra
SeaTree Ltd. Liability Co Holdings,Gavanovia,Oceanus
Uttar Pradesh s A/S,Marebak,NA
Drakensberg  S.A. de C.V. Marine ecology,Coralmarica,Oceanus
Charles Pier AB Logistics,Sol y Oceana,Oceanus
Saltwater Supreme Pelican Ltd Enterprises,Puerto Sol,Oceanus
Dry Creek Underwater SRL Services,Coralmarica,Puerto del Mar
Makumba Ltd. Liability Co,Utoporiana,Riodelsol
Orange River   GmbH & Co. KG Shipping,Marebak,Oceanus
Richard Seafood Ltd. Liability Co Delivery,Puerto Sol,Oceanus
Bahía de Coral Pic Cargo,Isliandor,Oceanus
Estrella del Sol LLC,Alverossia,Oceanus
Caracola del Este AG,Marebak,Oceanus
Omo River  Seagull S.p.A. Carriers,Marebak,NA
hǎi tún Ltd. Liability Co,Coralmarica,Oceanus
Orange River Mouth   Co Transport,Sol y Oceana,Lumaland
Zambezi Gorge  N.V. Transport,Marebak,Marebak
xuě yú Seafood Sp Carriers,Oceanus,Oceanus
Aqua Mermaid Corporation Export,Brindivaria,Oceanus
-4065,NA,Oceanus
Playa del Mar NV,Oceanus,Oceanus
Ocean Quest Ges.m.b.H. Snapper,Oceanus,Oceanus
Maharashtra   Dry dock GmbH & Co. KG Holdings,Merigrad,Oceanus
Arawak Ltd. Corporation Industrial,Lumindoria,Oceanus
Olas del Sur Oyj,Utoporiana,Oceanus
Mar de Cristal Co Transport,Thessalandia,Oceanus
Ancla del Este AS,Utoporiana,Oceanus
SeaBass Company Ltd. Corporation Transport,Kethilim,Oceanus
Mar de la Costa Company,Vesperanda,Oceanus
Chobe River   Distribution Pelican,Alverossia,Oceanus
Irish Mackerel Kga Freight ,Alverossia,Oceanus
Sailors and Surfers Oyj,Alverossia,Oceanus
Brisa del Este Co,Icarnia,Oceanus
Mar de Cristalino AG,Isliandor,Oceanus
Mar y Luna Co,Marebak,Oceanus
Playa de Arena OJSC,Marebak,Oceanus
bái suō wěn lú Company,Marebak,Oceanus
Seaside Strolls Corp Transport,Marebak,Oceanus
Scottish Trout Ltd. Corporation Line,Isliandor,Coralmarica
Mar de Plata BV Marine,Oceanus,Oceanus
Rajasthan  Market Kga Submarine,Alverossia,Oceanus
Olas del Sur Seafoam,Coralmarica,Oceanus
Assam   Limited Liability Company,Utoporiana,Sol y Oceana
Congo River  AG Worldwide,Marebak,Oceanus
xún yú OJSC Express,Sol y Oceana,Oceanus
Chhattisgarh   Marine ecology A/S Delivery,Oceanus,Oceanus
Danish  Plc & Son's,Puerto del Mar,Oceanus
Coral Rojo Ltd. Liability Co Express,Marebak,Oceanus
Sikkim  Market Sagl Shipping,Sol y Oceana,Oceanus
Beach Breakers Ltd. Corporation Marine conservation,Kondanovia,Oceanus
Mar de Plata SRL,Kondanovia,Oceanus
Dutch Mussels Ltd. Liability Co,Azurionix,Azurionix
Costa de la Felicidad and Sagl Marine,Osterivaria,Oceanus
Amerigo S.A. de C.V.,Gavanovia,Oceanus
Mar de la Aventura Beach,Alverossia,Oceanus
Playa de la Felicidad Harbor,Nalakond,Oceanus
Arunachal Pradesh s Co Marine life,Utoporiana,Oceanus
Congo Basin  NV Anchor,Osterivaria,Oceanus
Saltwater Symphony S.A. de C.V.,Marebak,Oceanus
Limited Liability Company Co,Coralada,Oceanus
Isla del Mar Kga International,Jiraputra,Oceanus
The Salted Pearl AG Marine conservation,Kondanovia,Oceanus
Pao gan LC Freight ,-22004,Oceanus
Elara Limited Liability Company Services,Utoporiana,Mawandia
-10980,NA,Oceanus
Kong zhong diao yu  Ltd,Mawazam,Oceanus
Barco de Plata Seafarer Corp Freight ,Utoporiana,Utoporiana
Jammu & Kashmir  AB Consultants,Rio Isla,Oceanus
Belgian Shrimps - Company Brothers,Vesperand's Bay,Oceanus
Adair Cruise ship GmbH Logistics,Osterivaro,Oceanus
-4913,NA,Oceanus
Mar de Coral CJSC,Isliandor,Oceanus
3 Oceanography ОАО Marine life,Faraluna,Oceanus
Ronan Captain Kga Solutions,Mawazam,Oceanus
Ancla de Oro Kga Import,Vesperanda,Oceanus
Sea Luxe LLC Express,Merigrad,Oceanus
Mar del Paraíso Corporation Logistics,Marebak,Oceanus
Saltwater Sisters GmbH & Co. KG Marine biology,Icarnia,Alverossia
Sea Luxe Oyj Solutions,Kondanovia,Oceanus
Tshikwea Ltd. Liability Co,Marebak,Oceanus
Caracola Marina - Plc Enterprises,Kondanovia,Oceanus
Mar y Luna Sagl,Marebak,Coralmarica
Lake Kivu   Corp Hijiki,Mawazam,NA
Arunachal  Dashi Inc Worldwide,Mawazam,Oceanus
Manipur  Market Ltd. Corporation Solutions,Marebak,NA
Madagascar Coast  Regatta Company Cargo,Marebak,Talandria
The Salty Dog Logistics Leska,Alverossia,Oceanus
Barents Sea Cod Sashimi S.p.A. Overseas,Icarnia,Oceanus
Dutch  Ltd. Liability Co Consultants,Sol y Oceana,Icarnia
Kariba Dam   A/S Logistics,Marebak,NA
Mar de la Luna Pic,Isliandor,Oceanus
SilverStream CJSC Marine conservation,Marebak,Oceanus
Lake Nakuru  Kga Logistics,Marebak,Marebak
Coral Cove Corporation Delivery,Solovarossa,Oceanus
Balkan Trout Ltd. Liability Co,Rio Isla,Oceanus
Great Ruaha River  Ltd. Corporation Shipping,Alverossia,Oceanus
Italian Sword Seaside AS Services,Korvelonia,Oceanus
bǐ mù yú Sagl Distribution,Alverossia,Oceanus
Lena  Abalone GmbH & Co. KG Freight ,Marebak,NA
Dutch Eel Corp Family,Isliandor,Oceanus
Viento Azul SRL Worldwide,Kethilim,Oceanus
Estrella del Mar ОАО Shipping,Marebak,NA
Madagascar Coast  AG Freight ,Oceanus,Oceanus
Niger Bend   S.A. de C.V. Holdings,Merigrad,Oceanus
Gambia River   N.V. -,Coral Solis,Oceanus
Irish Crab CJSC Shark,Mawazam,Oceanus
Cape Verde Islands  Limited Liability Company Logistics,Marebak,NA
páng xiè SRL Cargo,Rio Isla,Oceanus
Náutica del Sol Corporation,Mawazam,Oceanus
Mar de Coral Ltd. Corporation Transport,Isliandor,Oceanus
3 Trawler Corp Distribution,Brindisola,Oceanus
Kong zhong diao yu  Express Charter Boat ,Mawazam,Oceanus
Elara Port SRL Marine life,Icarnia,Oceanus
Neptune's Kingdom Lock Sp Holdings,Isliandor,Oceanus
Andhra Pradesh   Seagrass ОАО Family,Calabrix,Oceanus
Coral Cove GmbH & Co. KG Solutions,Isliandor,Oceanus
Danish Shrimp Kga Solutions,Rio Isla,Oceanus
Saltwater Sisters Oyj Transport,Marebak,Oceanus
Rybachit GmbH Tom yum,Coral Solis,Talandria
Gulf of Tadjoura  AG Forwading,Vesperanda,Oceanus
Playa de la Felicidad Sagl,Isliandor,Oceanus
Ob River N.V. Shipping,Oceanus,Coralmarica
Dutch Oyster Company Shark,Alverossia,Talandria
Belgian Cod Limited Liability Company Import,Coral Solis,Oceanus
Niger River Delta  Oyster ,Isliandor,Oceanus
Ancla de Oro Pic Industrial,Isliandor,Oceanus
Mar de la Vida Marine life,Mawazam,Oceanus
Marine Mates Ltd. Liability Co,Helixia,Talandria
Ocean Observers Inc Marine life,Kilivaria,Oceanus
Rift Valley fishery Inc,Puerto del Mar,Oceanus
Caracola Marina Merchants Deep-sea,Isliandor,Oceanus
Nazhivka & A/S Transport,Icarnia,Oceanus
Ronan A/S Marine sanctuary,Coral Solis,Kondanovia
Bahía del Este Company Worldwide,Marebak,Oceanus
guī yú N.V. Line,Isliandor,Oceanus
Coral Cove BV Brothers,Merigrad,Oceanus
Beach Breakers LLC Brothers,Kondanovia,Oceanus
Matthew Sailor ОАО Solutions,Marebak,NA
Selous Game Reserve  Kga,Oceanus,Oceanus
Tamil Nadu s LLC,Marebak,NA
Orange River   N.V. Seafarer,Marebak,Oceanus
Saharan Oasis  Incorporated & Son's,Mawazam,Oceanus
Selous Game Reserve  AG,Isliandor,Oceanus
La gan  LC Freight ,Kethilim,Oceanus
Sea Spray GmbH & Co. KG Services,Nalakond,Oceanus
Elara Ltd. Liability Co,Coralmarica,Oceanus
Mar de la Felicidad Corporation,Marebak,Oceanus
Ocean Outfitters Ltd. Corporation,Mawazam,Oceanus
Black Sea Carp Limited Liability Company,Puerto Sol,Oceanus
Irish Crab and SRL Solutions,Jiraputra,Oceanus
Black Sea Anchovy Cargo,-22005,Coralmarica
Mar de la Luna AS,Alverossia,Oceanus
Bu yu wang NV,Mawazam,Oceanus
Turkish Salmon A/S Marine,Vesperanda,Oceanus
suō yú Incorporated Brothers,Marebak,Oceanus
Belgian Shrimps Corp Marine life,Valtalmo,Oceanus
Ocean Outlaws OJSC Marine life,Puerto Sol,Oceanus
nián yú Ltd. Corporation,Merigrad,Oceanus
Isla del Este N.V.,Nordorvieto,Oceanus
Mar de la Aventura N.V. Worldwide,Lumindoria,Oceanus
Irtysh  GmbH & Co. KG,Jiraputra,Oceanus
Mar de Coral Express,Alverossia,Oceanus
shí rén yú America,Mawazam,NA
-1711,NA,Oceanus
Mar del Golfo Limited Liability Company Forwading,Marebak,Oceanus
Mar del Placer Marine sanctuary,Mawazam,Oceanus
Fresh Limited Liability Company,Marebak,Marebak
OceanSavor Surf Limited Liability Company Logistics,Marebak,NA
Senegal River  LLC Forwading,Utoporiana,Oceanus
Marine Masterminds Dry dock,Marebak,Coralmarica
-21766,NA,Oceanus
Pez Dorado Plc Seaport,Alverossia,Oceanus
Bahía del Sol Company,Mango del Oro,Oceanus
Rybachit S.A. de C.V. Aqua,Sol y Oceana,Sol y Oceana
Playa del Sol Ges.m.b.H.,Isliandor,Oceanus
Zambezi Valley  Marine biology,Kondanovia,Kondanovia
zhāng yú Ges.m.b.H. Solutions,Coral Solis,Oceanus
Kerala  Market Co Services,Marebak,Oceanus
Lake Chad  Marine conservation,Marebak,Marebak
Costa del Viento Fish  S.p.A. United,Rio Isla,Oceanus
Saltwater Serenity S.A. de C.V. Shipping,Calabrix,NA
Ancla Azul NV Holdings,Mawandia,Uzifrica
Lake Turkana  SRL Marine life,Marebak,NA
Finests  Salmon Ltd Marine ecology,Merigrad,Oceanus
Coastal Cruisers Pic Shipping,Marebak,Oceanus
Saltwater Solitude Company Worldwide,Marebak,Marebak
Saharan Oasis  Ltd. Corporation Holdings,Rio Isla,NA
La gan  AS Freight ,Marebak,NA
TidalTaste Limited Liability Company Distribution,Alverossia,NA
Costa del Mar ОАО,Marebak,NA
Bay of Bengal's AB,Alverossia,Oceanus
Yu er he  N.V.,Oceanus,Oceanus
Mar y Viento Sea,Alverossia,Oceanus
Rift Valley fishery Oyj,Alverossia,Oceanus
Uttarakhand  Market Ltd. Corporation,-22005,Oceanus
Tamil Nadu s Pic Express,Alverossia,Oceanus
-2220,NA,Oceanus
Arunachal Pradesh s Kga,Marebak,Marebak
Caracola del Este Plc United,Kondanovia,Oceanus
Gujarat  S.A. de C.V.,Oceanus,Oceanus
Mar de la Vida Limited Liability Company,Icarnia,Oceanus
OceanFront Foods SRL Line,Alverovia,Oceanus
-18214,NA,Oceanus
Congo Rapids   Pier CJSC Services,Mawazam,Azurionix
WaterWorld Flotsam Plc Shipping,Marebak,Oceanus
Costa del Sol BV,Isliandor,Oceanus
Telangana  Limited Liability Company and Son's,Merigrad,NA
Surf and Sea Inc,Utoporiana,Oceanus
Aqua Aura SE Marine life,Kondanovia,Oceanus
Marine Mates Cruise ship,Alverossia,Oceanus
Ola del Mar AS,Marebak,Oceanus
Mar de la Luna BV,Osterivaro,Oceanus
Ancla de Oro N.V.,Merigrad,Oceanus
Coastal Charm Ltd. Corporation,Utoporiana,Oceanus
zūn yú AG Cargo,Rio Isla,Oceanus
Wave Warriors A/S Solutions,Icarnia,Oceanus
Konkan Coast  SRL Logistics,Puerto del Mar,Oceanus
Océano del Este ОАО,Solovarossa,Luminkind
Tana River  S.A. de C.V.,Marebak,Oceanus
Russian River Plc Distribution,Marebak,Marebak
Limited Liability Company GmbH,Marebak,Oceanus
Ethiopian Highlands  Kga Services,Gavanovia,Orvietonix
AquaCuisine  _ SE Marine life,Utoporiana,NA
Leska GmbH & Co. KG,Korvelonia,Oceanus
Ocean Oasis Pic Delivery,Osterivaria,Oceanus
Ancla del Este Merchants,Oceanus,Oceanus
Saltwater Symphony Tidal flat,Sol y Oceana,Oceanus
Norwegian King Crab Express,Marebak,Oceanus
Chhattisgarh   Estuary Sp Marine biology,Thessalandia,Oceanus
Samaka Ltd. Corporation Dry dock,Alverossia,Oceanus
SeaSpritz Marine ecology Ltd. Corporation Forwading,Marebak,NA
Greek Octopus Company Distribution,Isliandor,Oceanus
Mar de la Luna Sp,Sol y Oceana,Oceanus
Uttarakhand  Market and GmbH Marine ecology,Marebak,Oceanus
Estrella del Mar N.V. United,Jiraputra,Oceanus
Limpopo River  Ltd. Corporation,Isliandor,Oceanus
Barco de Plata Corporation,Marebak,Oceanus
Ancla de Oro ОАО,Coral Solis,Oceanus
Oka  Ltd. Liability Co,Kondanovia,Oceanus
Icelandic Cod Pier ОАО Transport,Utoporiana,Coralmarica
Iphimedeia Submarine Sp United,Utoporiana,Utoporiana
Bay of Bengal's Ltd. Liability Co,Korvelonia,Oceanus
qīng yú OJSC International,Marebak,Oceanus
Coastal Cruisers Corporation Captain,Isliandor,Oceanus
Marine Masterminds Corporation Harbor,Marebak,Oceanus
-3696,NA,Oceanus
Red Sea  A/S United,Icarnia,Oceanus
Spanish Anchovy Underwater Incorporated Family,Isliandor,Oceanus
AquaBlue Beachcomber SRL Solutions,Alverossia,Oceanus
Surf and Sand AS Solutions,Marebak,Oceanus
Vleikurper S.A. de C.V.,Oceanus,Oceanus
Sea Luxe Whale AB Transport,Oceanus,Oceanus
Italian Anchovy LC Delivery,Utoporiana,Oceanus
Lake Malawi  A/S Worldwide,Oceanus,Oceanus
Estrella de la Costa AB Express,Mawazam,NA
Congo Basin  Ltd. Liability Co Holdings,Utoporiana,Thessalandia
Brisa del Mar Tilapia,Alverossia,Konalika
Oceanic Outfitters NV Freight ,Oceanus,Oceanus
Uttar Pradesh s NV,Isliandor,Oceanus
Wave Warriors Sagl Export,Oceanus,Coralmarica
Uttar Pradesh s AG,Marebak,Puerto Sol
Marine Muse Ltd. Corporation Marine biology,Korvelonia,Oceanus
Marine Mates NV Worldwide,Mawazam,Oceanus
Arunachal Pradesh s N.V.,Marebak,Oceanus
BlueTide Limited Liability Company International,Isliandor,Oceanus
Bahía del Sol Company Transportation,Kondanovia,Oceanus
Nazhivka S.A. de C.V. Overseas,Isliandor,Oceanus
Spanish Red Snapper CJSC Transport,Puerto Sol,Utoporiana
Southeast CJSC and Son's,Alverossia,Coralmarica
Coral del Sur AG,Alverossia,Oceanus
Gujarat   Limited Liability Company,Coralmarica,Oceanus
Tshimbua Seagrass ОАО Holdings,Utoporiana,Oceanus
Arunachal Pradesh s A/S Transport,Oceanus,Oceanus
Saharan Oasis  Pic International,Coralmarica,Oceanus
Stichting S.A. de C.V. and,Arreciviento,Oceanus
zhāng yú Marine conservation,Puerto Sol,Oceanus
-6246,NA,Oceanus
-1203,NA,Oceanus
Uttar Pradesh s CJSC,Marebak,Oceanus
Niger Bend   Sagl Transit,Coral Solis,Oceanus
Mar de Cielo Oyj,Isliandor,Oceanus
Konkan Coast  SE Marine biology,NA,Oceanus
Aqua Gourmet GmbH & Co. KG United,Marebak,Marebak
Oceanfront Oasis Barracuda ОАО Shipping,Osterivaria,Galduzim
-519,NA,Oceanus
Limited Liability Company Ltd,Puerto Sol,Oceanus
móguǐ yú Inc Import,Oceanus,Thessalandia
Oceanfront Oasis Ltd Marine conservation,Mawandia,Oceanus
Estrella de Mar Consultants -,Alverossia,Oceanus
Barents Sea Cod Corp Marine,Marebak,Oceanus
Manipur  Market Ltd. Liability Co,Isliandor,Oceanus
Balkan Cat Limited Liability Company,Marebak,Oceanus
Diao er  Limited Liability Company,Marebak,Oceanus
Surf and Sea Marine,Arreciviento,NA
AquaDelight N.V. Coral Reef,Coralmarica,Oceanus
Coastal Castaway Co Consultants,Marebak,Oceanus
AquaFresh Foods Marine sanctuary,Rio Isla,Oceanus
Barents Sea Shrimp Plc,Mawazam,NA
páng xiè S.A. de C.V. Line,Riodelsol,Oceanus
Uttar Pradesh s Ltd. Corporation Express,Kondanovia,Oceanus
Madhya Pradesh   Ltd. Corporation,Rio Isla,Oceanus
Dutch Mussels AS &,Marebak,Oceanus
Saharan Oasis  SRL Merchants,Islavaria,Oceanus
