from,to,hscode,Year,weights
Balkan Cat ОАО Transport,Assam  Market Incorporated Tanker,306170,2032,31
Balkan Cat ОАО Transport,Assam  Market Incorporated Tanker,306170,2033,34
Balkan Cat ОАО Transport,Brisa del Este BV,306170,2030,26
Balkan Cat ОАО Transport,Caracola del Este Ltd. Liability Co,306170,2028,29
Balkan Cat ОАО Transport,Caracola del Este Ltd. Liability Co,306170,2029,27
Balkan Cat ОАО Transport,Caracola del Este Ltd. Liability Co,306170,2030,35
Balkan Cat ОАО Transport,Caracola del Este Ltd. Liability Co,306170,2031,66
Balkan Cat ОАО Transport,Caracola del Este Ltd. Liability Co,306170,2032,37
Balkan Cat ОАО Transport,Caracola del Este Ltd. Liability Co,306170,2033,55
Balkan Cat ОАО Transport,Caracola del Sol Services,306170,2031,24
Balkan Cat ОАО Transport,Caracola del Sol Services,306170,2032,41
Balkan Cat ОАО Transport,Caracola del Sol Services,306170,2033,41
Balkan Cat ОАО Transport,Caracola del Sol Services,306170,2034,74
Balkan Cat ОАО Transport,Coastal Castaway Coast Corporation Worldwide,306170,2028,23
Balkan Cat ОАО Transport,Coral Cove BV Delivery,306170,2029,21
Balkan Cat ОАО Transport,Coral Cove BV Delivery,306170,2031,25
Balkan Cat ОАО Transport,Costa de la Felicidad Shipping,306170,2033,42
Balkan Cat ОАО Transport,Costa de la Felicidad Shipping,306170,2034,70
Balkan Cat ОАО Transport,Deep Blue Cargo ship,306170,2033,100
Balkan Cat ОАО Transport,Deep Blue Cargo ship,306170,2034,29
Balkan Cat ОАО Transport,Great Ruaha River  GmbH,306170,2031,31
Balkan Cat ОАО Transport,Great Ruaha River  GmbH,306170,2033,26
Balkan Cat ОАО Transport,Great Ruaha River  GmbH,306170,2034,44
Balkan Cat ОАО Transport,Himachal Pradesh  BV Holdings,306170,2030,24
Balkan Cat ОАО Transport,Himachal Pradesh  BV Holdings,306170,2031,28
Balkan Cat ОАО Transport,Isla del Este SE,306170,2032,95
Balkan Cat ОАО Transport,Madagascar Coast  AG Freight ,306170,2028,33
Balkan Cat ОАО Transport,Madagascar Coast  AG Freight ,306170,2031,22
Balkan Cat ОАО Transport,Madagascar Coast  AG Freight ,306170,2032,31
Balkan Cat ОАО Transport,Madagascar Coast  AG Freight ,306170,2033,48
Balkan Cat ОАО Transport,Madagascar Coast  AG Freight ,306170,2034,34
Balkan Cat ОАО Transport,Manipur  Market Ray LC Marine conservation,306170,2034,21
Balkan Cat ОАО Transport,Mar del Este CJSC,306170,2029,28
Balkan Cat ОАО Transport,Mar del Este CJSC,306170,2030,25
Balkan Cat ОАО Transport,Mar del Este CJSC,306170,2031,35
Balkan Cat ОАО Transport,Mar del Este CJSC,306170,2032,39
Balkan Cat ОАО Transport,Mar del Este CJSC,306170,2033,61
Balkan Cat ОАО Transport,Mar del Este CJSC,306170,2034,34
Balkan Cat ОАО Transport,Mar del Paraíso Corporation Logistics,306170,2028,64
Balkan Cat ОАО Transport,Mar del Paraíso Corporation Logistics,306170,2029,85
Balkan Cat ОАО Transport,Mar del Paraíso Corporation Logistics,306170,2030,90
Balkan Cat ОАО Transport,Mar del Paraíso Corporation Logistics,306170,2031,108
Balkan Cat ОАО Transport,Mar del Paraíso Corporation Logistics,306170,2032,29
Balkan Cat ОАО Transport,Mar del Paraíso Corporation Logistics,306170,2033,28
Balkan Cat ОАО Transport,Mar del Paraíso Corporation Logistics,306170,2034,30
Balkan Cat ОАО Transport,Orange River   Incorporated Shipping,306170,2033,73
Balkan Cat ОАО Transport,Orange River   Incorporated Shipping,306170,2034,24
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,306170,2028,35
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,306170,2029,63
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,306170,2030,31
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,306170,2031,66
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,306170,2032,41
Balkan Cat ОАО Transport,Selous Game Reserve  S.A. de C.V.,306170,2033,78
Balkan Cat ОАО Transport,Spanish Anchovy SE Marine,306170,2032,31
Balkan Cat ОАО Transport,Vespuci Sagl Marine sanctuary,306170,2033,28
Balkan Cat ОАО Transport,Vespuci Sagl Marine sanctuary,306170,2034,41
Balkan Cat ОАО Transport,hǎi dǎn AG Express,306170,2028,59
Balkan Cat ОАО Transport,hǎi dǎn AG Express,306170,2029,60
Balkan Cat ОАО Transport,hǎi dǎn AG Express,306170,2030,48
Balkan Cat ОАО Transport,hǎi dǎn AG Express,306170,2034,47
Balkan Cat ОАО Transport,hǎi dǎn Corporation Wharf,306170,2028,27
Balkan Cat ОАО Transport,hǎi dǎn Corporation Wharf,306170,2031,21
Balkan Cat ОАО Transport,hǎi dǎn Corporation Wharf,306170,2032,81
Balkan Cat ОАО Transport,hǎi dǎn Corporation Wharf,306170,2033,169
Balkan Cat ОАО Transport,hǎi dǎn Corporation Wharf,306170,2034,170
Balkan Cat ОАО Transport,hǎi mǎ Sagl Express,306170,2028,35
Balkan Cat ОАО Transport,hǎi mǎ Sagl Express,306170,2029,27
Balkan Cat ОАО Transport,hǎi mǎ Sagl Express,306170,2030,32
Balkan Cat ОАО Transport,hǎi mǎ Sagl Express,306170,2031,46
Balkan Cat ОАО Transport,hǎi mǎ Sagl Express,306170,2032,82
Balkan Cat ОАО Transport,hǎi mǎ Sagl Express,306170,2033,38
Baltic Catch Oyj Shipping,hǎi dǎn Corporation Wharf,306170,2029,80
Baltic Catch SE Solutions,Brisa del Este BV,306170,2031,25
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,306170,2029,32
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,306170,2030,41
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,306170,2031,29
Baltic Catch SE Solutions,Costa de la Felicidad Shipping,306170,2032,34
Baltic Flounder Salt spray LLC Marine conservation,Caracola del Sol Services,306170,2033,34
Baltic Flounder Salt spray LLC Marine conservation,Caracola del Sol Services,306170,2034,43
Baltic Sprat Pic Freight ,Himachal Pradesh  BV Holdings,306170,2034,28
Baltic Sprat Pic Freight ,The Sea Turtle GmbH & Co. KG,306170,2034,95
Barents Sea Cod Corporation Family,Caracola del Sol Services,306170,2034,23
Barents Sea Shrimp Plc,Kong zhong diao yu  Ges.m.b.H.,306170,2030,26
Bay of Bengal's Corp,-1000,306170,2031,24
Bay of Bengal's Corp,AquaDelight N.V. Coral Reef,306170,2028,46
Bay of Bengal's Corp,Costa de la Felicidad Shipping,306170,2029,28
Bay of Bengal's Corp,Costa de la Felicidad Shipping,306170,2030,83
Bay of Bengal's Corp,Costa de la Felicidad Shipping,306170,2031,56
Bay of Bengal's Corp,Costa de la Felicidad Shipping,306170,2032,36
Bay of Bengal's Corp,Costa de la Felicidad Shipping,306170,2033,56
Bay of Bengal's Corp,Costa de la Felicidad Shipping,306170,2034,28
Bay of Bengal's Corp,Pao gan LC Freight ,306170,2029,58
Bay of Bengal's Corp,Pao gan LC Freight ,306170,2030,93
Bay of Bengal's Corp,Pao gan LC Freight ,306170,2031,48
Bay of Bengal's Corp,Pao gan LC Freight ,306170,2032,41
Big Sulphur  S.A. de C.V.,Costa de la Felicidad Shipping,306170,2033,47
Black Sea Anchovy Pic Wharf,Rift Valley fishery Inc,306170,2030,31
Black Sea Anchovy Pic Wharf,Rift Valley fishery Inc,306170,2031,31
Black Sea Anchovy Pic Wharf,Rift Valley fishery Inc,306170,2032,36
Black Sea Anchovy Pic Wharf,Rift Valley fishery Inc,306170,2033,33
Black Sea Anchovy Pic Wharf,Rift Valley fishery Inc,306170,2034,38
Black Sea Anchovy S.p.A. Brothers,Selous Game Reserve  S.A. de C.V.,306170,2029,27
Blue Horizon Family &,Adriatic Mackerel Ges.m.b.H. Family,306170,2030,40
Blue Horizon Family &,Adriatic Mackerel Ges.m.b.H. Family,306170,2033,32
Blue Horizon Family &,Adriatic Mackerel Ges.m.b.H. Family,306170,2034,24
Blue Horizon Family &,AquaDelight N.V. Coral Reef,306170,2029,23
Blue Horizon Family &,Assam  Market Cargo ship Company Marine conservation,306170,2031,30
Blue Horizon Family &,Assam  Market Cargo ship Company Marine conservation,306170,2032,31
Blue Horizon Family &,Assam  Market Cargo ship Company Marine conservation,306170,2033,24
Blue Horizon Family &,Belgian Cod BV Solutions,306170,2034,23
Blue Horizon Family &,Caracola Azul Ltd. Corporation,306170,2031,57
Blue Horizon Family &,Caracola Azul Ltd. Corporation,306170,2032,33
Blue Horizon Family &,Caracola Azul Oyj &,306170,2029,25
Blue Horizon Family &,Caracola Azul Oyj &,306170,2030,68
Blue Horizon Family &,Caracola del Sol Services,306170,2029,54
Blue Horizon Family &,Caracola del Sol Services,306170,2030,104
Blue Horizon Family &,Caracola del Sol Services,306170,2031,82
Blue Horizon Family &,Caracola del Sol Services,306170,2032,28
Blue Horizon Family &,Caracola del Sol Services,306170,2033,34
Blue Horizon Family &,Caracola del Sol Services,306170,2034,30
Blue Horizon Family &,Costa de la Felicidad Shipping,306170,2029,120
Blue Horizon Family &,Costa de la Felicidad Shipping,306170,2030,149
Blue Horizon Family &,Costa de la Felicidad Shipping,306170,2031,80
Blue Horizon Family &,Costa de la Felicidad Shipping,306170,2032,105
Blue Horizon Family &,Costa de la Felicidad Shipping,306170,2033,139
Blue Horizon Family &,Costa de la Felicidad Shipping,306170,2034,104
Blue Horizon Family &,Estrella del Sol Buoy,306170,2033,45
Blue Horizon Family &,Estrella del Sol Buoy,306170,2034,24
Blue Horizon Family &,Greek ermen Plc Marine sanctuary,306170,2033,21
Blue Horizon Family &,Isla del Tesoro GmbH & Co. KG Chart,306170,2029,34
Blue Horizon Family &,Isla del Tesoro GmbH & Co. KG Chart,306170,2030,74
Blue Horizon Family &,Lake Chad  Company Ray,306170,2030,34
Blue Horizon Family &,Lake Chad  Company Ray,306170,2031,25
Blue Horizon Family &,Lake Chad  Company Ray,306170,2032,47
Blue Horizon Family &,Lake Chad  Company Ray,306170,2033,47
Blue Horizon Family &,Lake Chad  Company Ray,306170,2034,24
Blue Horizon Family &,Madagascar Coast  AG Freight ,306170,2028,57
Blue Horizon Family &,Madagascar Coast  AG Freight ,306170,2029,90
Blue Horizon Family &,Madagascar Coast  AG Freight ,306170,2030,185
Blue Horizon Family &,Madagascar Coast  AG Freight ,306170,2031,276
Blue Horizon Family &,Madagascar Coast  AG Freight ,306170,2032,259
Blue Horizon Family &,Madagascar Coast  AG Freight ,306170,2033,267
Blue Horizon Family &,Madagascar Coast  AG Freight ,306170,2034,314
Blue Horizon Family &,Mar del Este CJSC,306170,2029,37
Blue Horizon Family &,Mar del Este CJSC,306170,2030,49
Blue Horizon Family &,Mar del Este CJSC,306170,2031,151
Blue Horizon Family &,Mar del Este CJSC,306170,2032,199
Blue Horizon Family &,Mar del Este CJSC,306170,2033,240
Blue Horizon Family &,Mar del Este CJSC,306170,2034,78
Blue Horizon Family &,Náutica del Sol Corporation,306170,2030,24
Blue Horizon Family &,Orange River   Incorporated Shipping,306170,2031,167
Blue Horizon Family &,Orange River   Incorporated Shipping,306170,2032,160
Blue Horizon Family &,Orange River   Incorporated Shipping,306170,2033,189
Blue Horizon Family &,Orange River   Incorporated Shipping,306170,2034,130
Blue Horizon Family &,Panope Limited Liability Company,306170,2032,22
Blue Horizon Family &,Pao gan LC Freight ,306170,2032,23
Blue Horizon Family &,Pao gan SE Seal,306170,2030,28
Blue Horizon Family &,Pao gan SE Seal,306170,2031,54
Blue Horizon Family &,Pao gan SE Seal,306170,2032,37
Blue Horizon Family &,Pao gan SE Seal,306170,2033,106
Blue Horizon Family &,Pao gan SE Seal,306170,2034,122
Blue Horizon Family &,Seafaring Souls Ges.m.b.H. Marine sanctuary,306170,2029,26
Blue Horizon Family &,The Sea Turtle GmbH & Co. KG,306170,2028,23
Blue Horizon Family &,The Sea Turtle GmbH & Co. KG,306170,2031,25
Blue Horizon Family &,hǎi dǎn Corporation Wharf,306170,2028,45
Blue Horizon Family &,hǎi dǎn Corporation Wharf,306170,2029,32
Blue Horizon Family &,hǎi dǎn Corporation Wharf,306170,2033,49
Blue Horizon Family &,hǎi dǎn Corporation Wharf,306170,2034,28
BlueWaterBites GmbH & Co. KG Export,Mar del Paraíso Corporation Logistics,306170,2031,33
Caracola Azul Ltd Solutions,The Sea Turtle GmbH & Co. KG,306170,2034,152
Caracola Azul Ltd Solutions,hǎi dǎn Corporation Wharf,306170,2034,21
Caracola Marina Ltd Holdings,Caracola del Sol Services,306170,2034,23
Caracola Marina Ltd Holdings,Deep Blue Cargo ship,306170,2034,24
Caracola Marina Ltd Holdings,Estrella del Mar N.V. United,306170,2034,23
Caracola Marina Ltd Holdings,Manipur  Market Ray LC Marine conservation,306170,2034,33
Caracola Marina Ltd Holdings,Mar del Este CJSC,306170,2034,52
Caracola Marina Ltd Holdings,hǎi dǎn Corporation Wharf,306170,2034,75
Caracola del Este Incorporated,Caracola del Sol Services,306170,2033,21
Caracola del Este Incorporated,Mar del Este CJSC,306170,2032,43
Caracola del Este Incorporated,Mar del Placer Manatee,306170,2032,22
Caracola del Este Incorporated,Sailors and Surfers Incorporated Enterprises,306170,2032,52
Caracola del Este Incorporated,Sailors and Surfers Incorporated Enterprises,306170,2033,44
Caracola del Este Incorporated,Sailors and Surfers Incorporated Enterprises,306170,2034,35
Caracola del Este Incorporated,Saltwater Supreme Pelican Ltd Enterprises,306170,2032,21
Chuan gou  N.V. Delivery,AquaDelight N.V. Coral Reef,306170,2028,62
Chuan gou  N.V. Delivery,AquaDelight N.V. Coral Reef,306170,2029,108
Chuan gou  N.V. Delivery,Assam  Market Cargo ship Company Marine conservation,306170,2034,21
Chuan gou  N.V. Delivery,Belgian Cod BV Solutions,306170,2032,30
Chuan gou  N.V. Delivery,Caracola del Este Ltd. Liability Co,306170,2028,163
Chuan gou  N.V. Delivery,Caracola del Este Ltd. Liability Co,306170,2029,169
Chuan gou  N.V. Delivery,Caracola del Este Ltd. Liability Co,306170,2030,121
Chuan gou  N.V. Delivery,Caracola del Este Ltd. Liability Co,306170,2031,164
Chuan gou  N.V. Delivery,Caracola del Este Ltd. Liability Co,306170,2032,64
Chuan gou  N.V. Delivery,Caracola del Este Ltd. Liability Co,306170,2033,76
Chuan gou  N.V. Delivery,Caracola del Este Ltd. Liability Co,306170,2034,48
Chuan gou  N.V. Delivery,Caracola del Sol Services,306170,2029,74
Chuan gou  N.V. Delivery,Caracola del Sol Services,306170,2033,34
Chuan gou  N.V. Delivery,Caracola del Sol Services,306170,2034,274
Chuan gou  N.V. Delivery,Coastal Castaway Coast Corporation Worldwide,306170,2029,29
Chuan gou  N.V. Delivery,Coastal Castaway Coast Corporation Worldwide,306170,2030,22
Chuan gou  N.V. Delivery,Dubingiai Ltd. Liability Co,306170,2028,21
Chuan gou  N.V. Delivery,Mar del Este CJSC,306170,2030,208
Chuan gou  N.V. Delivery,Mar del Este CJSC,306170,2031,375
Chuan gou  N.V. Delivery,Mar del Este CJSC,306170,2032,241
Chuan gou  N.V. Delivery,Mar del Este CJSC,306170,2033,159
Chuan gou  N.V. Delivery,Mar del Este CJSC,306170,2034,162
Chuan gou  N.V. Delivery,SeaLion Marine AG Express,306170,2028,21
Chuan gou  N.V. Delivery,Selous Game Reserve  S.A. de C.V.,306170,2029,95
Chuan gou  N.V. Delivery,Selous Game Reserve  S.A. de C.V.,306170,2030,59
Chuan gou  N.V. Delivery,Selous Game Reserve  S.A. de C.V.,306170,2033,39
Chuan gou  N.V. Delivery,Yu gan  Sea spray GmbH Industrial,306170,2029,28
Coral Cove LC Hull,Olas del Mar Worldwide,306170,2033,41
Coral Cove LC Hull,hǎi dǎn Corporation Wharf,306170,2032,24
Coral Cove LC Hull,hǎi dǎn Corporation Wharf,306170,2033,30
Coral del Mar Incorporated,hǎi dǎn Corporation Wharf,306170,2029,31
Coral del Mar Logistics,-41,306170,2031,29
Coral del Mar Logistics,-41,306170,2032,50
Coral del Mar Logistics,Caracola del Sol Services,306170,2029,26
Coral del Mar Logistics,Caracola del Sol Services,306170,2030,22
Coral del Mar Logistics,Caracola del Sol Services,306170,2031,66
Coral del Mar Logistics,Caracola del Sol Services,306170,2032,97
Coral del Mar Logistics,Caracola del Sol Services,306170,2033,187
Coral del Mar Logistics,Caracola del Sol Services,306170,2034,198
Coral del Mar Logistics,Sea Breeze Corporation Marine sanctuary,306170,2031,26
Coral del Mar Logistics,Sea Breeze Corporation Marine sanctuary,306170,2032,37
Coral del Sur Sagl Family,Yu xian  SRL Industrial,306170,2029,78
Coral del Sur Sagl Family,Yu xian  SRL Industrial,306170,2030,31
